Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
El Salvador,426.8547079,116.1142140598,27.49448717495,97.19506248224,57.6984392893,44.2701367866,20.9990364444182,12.0461582874596,5394,571,1148,0,170,114,16,44420.0,6325124.0,-0.8765299915252088,-0.03496430488937192
Equatorial Guinea,63.1828572401,158.368678339025,1.225693406562,17.4278115415236,5.75737256171,3.8715481804,5.99514922071504,2.77602247471764,501,65,88,0,42,5,3,7121.0,1168568.0,-0.9527313947529285,-0.04886145255517698
Eritrea,198.67814348,159.060236097,21.35333747077,58.547218289196,11.7093681074,6.8913062105,25.9921554327303,10.8234147098886,3202,192,580,7,415,20,24,42378.0,3342818.0,-0.9024588376970343,-0.026535342471869408
Estonia,107.628928072658,139.991173323805,18.9860687852532,97.492687619965,29.313673974772,9.67707162249068,16.4597970583239,9.82344105399133,3751,722,249,0,29,14,1,15045.0,1315407.0,-0.9230974690021146,-0.06178978224570257
Eswatini,116.4473959206,48.019410545695,7.802763848983,25.869141737503,11.61321302883,9.4173013138,14.4155826784053,8.13645912795023,920,98,184,3,111,7,7,12005.0,1104044.0,-0.9444820862191905,-0.045639685035070966
Ethiopia,11751.34573882,4041.81285863858,747.826122192868,2796.8572508608,227.87061711077,91.997748232799,1658.93065196684,735.984177210094,34359,1945,8479,82,3695,283,276,551716.0,100835458.0,1.029035403333302,0.00486992224016335
Fiji,12.1941399621,37.43684293367,6.03682570328165,9.305483707658,13.0684781127,7.80293626119,3.04046849330771,2.30799405166414,740,66,136,0,233,4,14,7088.0,868627.0,-0.952850941866749,-0.035841882518557674
Finland,596.318517983643,912.257690210889,55.5708727667902,151.640116352357,171.780315829876,170.390540114008,71.1526675873735,55.0316368149368,13489,2458,1476,29,107,265,17,51991.0,5479531.0,-0.7440751214831491,-0.07997831590407178
France,2677.53906183937,2615.83462499347,859.682636529366,883.38240671297,749.079377756542,221.146029482902,249.785183922859,167.860342304594,186146,40819,16035,631,1075,2157,473,563985.0,66548272.0,0.8844469980221698,-0.20215772660664122
Gabon,484.30686641,334.462058741,20.01182498569,158.430140780603,46.4892917479,20.1947413055,77.0756727249441,39.9895990337705,1256,178,189,1,87,9,5,11474.0,1947686.0,-0.8820999434057396,-0.06443496903585683
