Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population
Chile,2174.078227728,923.01662949174,155.351682911,423.225298123766,354.1655464811,548.3229850982,244.165643361418,133.61531167101,25212,3116,3707,119,240,1162,34,96382.0,17062536.0
China,118006.589653983,58652.7001507643,8573.28222636175,27624.211796757,25087.6381669179,32071.9688500947,16788.1477238665,11528.4225007121,2262426,576914,1090311,10822,26878,6760,4925,8976444.0,1337705000.0
Colombia,2749.252010122,3064.3367306803,384.3184518387,778.797462233329,354.9906064,147.349198350645,196.687304816514,119.960159470143,39280,4980,12467,57,307,373,338,207868.0,45222699.0
Comoros,23.04332182435,11.773272326475,1.06509875653643,7.2764746530552,1.04139175153,0.6485128181,1.93738604098637,0.891811732184058,400,27,91,0,44,3,2,4299.0,689692.0
Congo,301.7764927503,403.2097498065,10.3868111922,152.771632517145,20.34322374889,2.1222608719,34.5765183756552,13.8396575021648,2425,281,516,4,322,21,16,37580.0,4273731.0
Costa Rica,426.994593511,143.7066437281,41.109044327273,109.212166939336,47.95618435,19.4300066959,24.8839764049208,17.1420035025435,4553,379,883,1,46,117,9,18600.0,4577378.0
Croatia,333.58144064972,183.58548164529,45.1663675509414,73.7430420428372,65.56644420308,62.0317137532527,46.1984437862753,25.0136448989045,13719,3115,1599,7,68,25,4,51470.0,4295427.0
Cuba,564.614705296,574.438411058,62.9336044747,156.086437583696,133.7320516071,468.0799386186,42.8476718665304,27.0719611229581,22863,5446,3282,2,279,51,24,89035.0,11225832.0
Cyprus,36.8990816035,39.2675375428127,6.889069512093,11.7360832460027,24.48412152414,26.6628796765419,3.1090960809788,1.92263277343246,1787,361,326,2,29,50,5,6717.0,1112612.0
Czechia,961.49410865971,536.640819207032,94.7066464809857,210.393776640989,286.17590994859,219.471652301134,101.820807712596,64.7677504786503,29975,6396,2700,51,107,178,18,106257.0,10474410.0
Côte d'Ivoire,1496.10471758284,408.6103271135,73.800376449113,498.218394322655,45.3099572635,19.75005085,264.092351124422,85.8088695336124,8885,965,1689,5,1344,38,188,209702.0,20532950.0
Democratic People's Republic of Korea,1308.620118774,807.394525031,60.638239691,306.50414200527,176.097998777,442.41111206,162.469613619729,106.046437576764,36406,7796,26697,261,1632,143,123,210512.0,24548836.0
Democratic Republic of the Congo,3567.9760004,884.221499345,129.1988735558,808.325937401045,89.87835079,35.2252607028,513.969459539211,269.141710771757,26998,2930,10105,117,7163,357,306,704385.0,64563854.0
Denmark,375.7772604078,451.40837288106,160.453596001479,115.458734306666,145.95937021237,30.4573105430215,28.643003460161,20.2178088888941,17483,4288,3875,14,81,165,13,53836.0,5547683.0
Djibouti,57.74257209,31.92450142463,3.0162222231022,17.5902684451677,10.191473094354,5.38767904517,2.89969647967835,1.40224474114866,486,37,59,0,43,2,2,6043.0,840198.0
Dominica,7.50139630714,2.073430563238,0.3058737936574,3.25432520228765,1.21974187366,0.53523854456,0.172156198821812,0.106417048214015,163,14,14,0,4,1,0,607.0,70878.0
Dominican Republic,564.9766382897,340.00644653704,89.351062742922,172.424568654265,154.631037736287,152.819145109392,54.8958025395865,29.9138144286893,8013,1027,1069,1,403,38,29,53791.0,9695121.0
Ecuador,1216.332896948,901.109379469521,128.733028951836,326.536254704273,246.0305001394,225.13713786648,47.8164303128066,31.8004230345717,14116,1220,2046,8,114,556,53,79158.0,15011117.0
Egypt,1249.6158503298,2609.54249922317,275.677865305677,665.52249827512,576.901859641281,698.567181556004,125.082220254487,82.1130550536561,46081,4428,11241,35,7427,542,161,456679.0,82761235.0
El Salvador,372.032399085,121.94189286696,29.0791326747,85.49190579346,56.1187564214,39.7101419738,25.4663720345403,14.858530034176,4658,473,933,0,167,92,16,37556.0,6183875.0
Equatorial Guinea,60.2440415833,279.70906387583,1.1415007492232,17.028882236164,5.96050887926,3.3173846447,5.56418422947029,2.636657754586,405,50,77,0,42,4,3,7071.0,943639.0
